GD1,SL1,SL2,GJ1,Poisson's Ratio,Initial Inner Friction Angle (degree) ,Initial Cohesion (MPa) ,Dilatancy Angle (degree) ,Young's Modulus (GPa) 
-0.483479065,-0.222252988,-0.379479145,-0.333840935,0.300285714,33.97142857,0.189285714,3.071428571,18.13357143
-1.99906888,-0.590823954,-1.091257978,-1.602562351,0.314571429,34.82857143,0.383571429,8.071428571,2.422142857
-5.829623867,-0.623604195,-1.360828545,-5.325005235,0.434,25.11428571,0.347857143,7.9,0.639285714
-0.517972393,0.117878101,0.279870244,-0.575363605,0.468285714,21.17142857,0.453571429,5.357142857,13.78785714
-3.790685845,-0.40357183,-0.832493016,-3.470039056,0.420285714,38.25714286,0.403571429,0.442857143,1.196428571
-0.625644777,-0.187080871,-0.312600583,-0.495581772,0.350571429,37.11428571,0.410714286,2.7,12.17214286
-1.411165143,-0.280061865,-0.497738572,-1.214239395,0.371714286,27.91428571,0.266428571,2.9,4.260714286
-0.50172598,0.056448996,0.154551869,-0.520333696,0.448285714,38.42857143,0.046428571,1.614285714,14.28928571
-3.51716787,-0.334151835,-0.683723933,-3.247038044,0.424285714,34.02857143,0.169285714,0.128571429,1.363571429
-0.752055404,-0.169935757,-0.280653458,-0.631003037,0.370571429,22.08571429,0.415,6.071428571,9.497857143
-6.419375511,0.019344052,0.021470012,-6.37013253,0.492857143,30.48571429,0.023571429,0.585714286,0.917857143
-0.579419912,-0.254071934,-0.438048206,-0.409762646,0.301428571,24.71428571,0.402142857,1.785714286,14.40071429
-1.711763742,-0.238367978,-0.429839618,-1.534993655,0.395142857,37.68571429,0.142142857,5.214285714,3.369285714
-0.411679235,-0.085011391,-0.121883927,-0.34432973,0.382571429,29.74285714,0.062142857,1.814285714,19.13642857
-0.784313908,0.198709901,0.451246417,-0.895455354,0.483142857,33.57142857,0.103571429,7.642857143,9.052142857
-0.49745128,-0.162091756,-0.26645445,-0.383534586,0.347142857,37.91428571,0.176428571,6.242857143,16.18357143
-0.837072868,0.145030643,0.336918773,-0.912418415,0.47,33.28571429,0.095,5.385714286,8.327857143
-2.032122234,-0.266715418,-0.494844406,-1.832043079,0.399142857,28.31428571,0.126428571,2.385714286,2.700714286
-4.086793716,0.125656975,0.26741806,-4.126838255,0.487142857,25.4,0.077857143,5.157142857,1.530714286
-0.460930201,-0.102731216,-0.154871075,-0.382737358,0.377428571,33.0,0.239285714,4.757142857,16.90785714
