0,1,2,3,4
-0.39533532,-0.40366998,0.06974291,0.17958724,-0.4215445
-0.63613284,-0.59703004,-0.12454637,-0.19507852,-0.5435599
-0.51586086,-0.55001,0.1707892,0.39161158,-0.60740894
-0.41407692,-0.38484,-0.08640118,-0.1244889,-0.34588784
-0.86254686,-0.84728,-0.023717288,-0.0027385436,-0.8298906
-0.4727135,-0.49112,0.10943126,0.26193672,-0.52442116
-1.1869881,-1.2451,0.25929317,0.5814212,-1.3390191
-0.57450795,-0.5167,-0.2036602,-0.34382766,-0.43503234
-0.66665727,-0.62559,-0.13217771,-0.2094668,-0.56921405
-1.1637338,-1.09235,-0.24707976,-0.4300474,-0.99079543
-0.5836917,-0.53139,-0.1804327,-0.3002977,-0.4580188
-0.67320955,-0.63416,-0.123735964,-0.19353421,-0.58080757
-0.57852685,-0.52249,-0.19614688,-0.32974702,-0.44350317
-2.4521904,-2.47716,0.15130062,0.33553335,-2.5210888
-0.48159862,-0.45290998,-0.083371356,-0.11789463,-0.4148927
-0.45102796,-0.42723,-0.063263856,-0.07990355,-0.3965353
-0.890113,-0.91368,0.12930351,0.30396104,-0.954964
-0.46093017,-0.42767,-0.10273121,-0.15487108,-0.38273737
-2.1861527,-2.0534701,-0.4665844,-0.8750642,-1.8598416
-0.56278765,-0.5906,0.14565746,0.3382207,-0.6383061
-0.5151286,-0.5089,0.009688665,0.062039085,-0.50482816
-0.54127544,-0.54477,0.049235675,0.1405474,-0.5554633
-0.4159531,-0.39561,-0.049062386,-0.053222947,-0.37008086
-1.9640177,-1.89385,-0.22013289,-0.4039638,-1.7941715
-1.2326705,-1.13414,-0.35831514,-0.63621855,-0.99191666
-0.4876694,-0.43927997,-0.16579527,-0.27349803,-0.37163168
-1.4625385,-1.3386,-0.4577664,-0.82418567,-1.1582559
-2.3685122,-2.22212,-0.5150867,-0.9751501,-2.0079508
-0.5503724,-0.58187,0.16009437,0.3687737,-0.6352073
-0.9291277,-0.92347,0.015540172,0.07375362,-0.9205883
-1.2431282,-1.17412,-0.23518746,-0.4098596,-1.0761454
-1.1321858,-1.04709,-0.30493104,-0.53604215,-0.92499125
-0.4435767,-0.45898,0.097770326,0.23753425,-0.48768592
-0.8684245,-0.77631,-0.3409021,-0.59841293,-0.64355767
-0.7175055,-0.73062,0.08790443,0.21926692,-0.7560204
-0.5767036,-0.60289,0.13918687,0.32466948,-0.6480966
-1.621276,-1.49577,-0.45872384,-0.8323856,-1.31301
-0.91399544,-0.87613,-0.11461555,-0.17770986,-0.82477427
-0.5127256,-0.48457998,-0.08074091,-0.11258967,-0.44743857
-1.8481047,-1.92307,0.32273516,0.7209732,-2.0432131
-1.0033636,-0.95741,-0.14598738,-0.23818262,-0.8939475
-0.5893478,-0.52545,-0.22883698,-0.39080375,-0.43467304
-0.7520554,-0.70152,-0.16993576,-0.28065345,-0.631003
-1.2621905,-1.25325,0.0073814364,0.05392673,-1.2455174
-0.9777287,-0.91078,-0.23323375,-0.40086704,-0.81582546
-1.7672949,-1.67169,-0.32941598,-0.60180026,-1.5337601
-0.74125934,-0.69973,-0.13279778,-0.21079601,-0.6427475
-0.48494965,-0.47996,0.01472221,0.07156258,-0.4777361
-2.7592413,-2.5244799,-0.85072494,-1.6319678,-2.1776776
-0.4212174,-0.42692,0.058676038,0.15780663,-0.44081628
-1.2247653,-1.18713,-0.10748769,-0.16892008,-1.1362368
-0.49745128,-0.4499,-0.16209176,-0.26645446,-0.38353458
